transaction_id,transaction_ts,customer_id,amount,currency,status
T1001,2025-01-01T10:15:00,C001,129.99,USD,COMPLETED
T1002,2025-01-01T11:22:00,C002,59.50,USD,FAILED
T1003,2025-01-01T13:40:00,C003,340.00,USD,COMPLETED
T1004,2025-01-02T08:05:00,C004,12.49,USD,COMPLETED
T1005,2025-01-02T09:10:00,C001,89.00,USD,REFUNDED
T1006,2025-01-02T14:20:00,C005,450.75,USD,COMPLETED
T1007,2025-01-03T12:45:00,C006,29.99,USD,COMPLETED
T1008,2025-01-03T16:50:00,C007,120.00,USD,FAILED
T1009,2025-01-03T19:15:00,C008,220.40,USD,COMPLETED
T1010,2025-01-04T09:10:00,C009,15.89,USD,COMPLETED
T1011,2025-01-04T11:30:00,C002,510.00,USD,COMPLETED
T1012,2025-01-04T12:10:00,C003,42.75,USD,FAILED
T1013,2025-01-05T08:00:00,C010,980.00,USD,COMPLETED
T1014,2025-01-05T08:35:00,C004,9.49,USD,COMPLETED
T1015,2025-01-05T13:22:00,C011,320.10,USD,COMPLETED
T1016,2025-01-06T07:50:00,C012,72.00,USD,REFUNDED
T1017,2025-01-06T10:42:00,C013,199.99,USD,COMPLETED
T1018,2025-01-06T17:10:00,C014,58.60,USD,COMPLETED
T1019,2025-01-07T09:30:00,C006,15.00,USD,FAILED
T1020,2025-01-07T16:25:00,C003,450.00,USD,COMPLETED
T1021,2025-01-07T18:00:00,C015,1299.00,USD,COMPLETED
T1022,2025-01-08T08:40:00,C016,640.75,USD,COMPLETED
T1023,2025-01-08T10:12:00,C017,34.50,USD,FAILED
T1024,2025-01-08T12:11:00,C018,89.99,USD,COMPLETED
T1025,2025-01-09T07:59:00,C019,27.89,USD,COMPLETED
T1026,2025-01-09T09:15:00,C020,130.00,USD,COMPLETED
T1027,2025-01-09T15:45:00,C021,560.20,USD,FAILED
T1028,2025-01-10T06:30:00,C022,99.49,USD,COMPLETED
T1029,2025-01-10T13:22:00,C012,245.00,USD,COMPLETED
T1030,2025-01-10T19:05:00,C023,14.25,USD,COMPLETED
T1031,2025-01-11T09:40:00,C024,720.00,USD,COMPLETED
T1032,2025-01-11T10:55:00,C025,58.90,USD,REFUNDED
T1033,2025-01-11T13:17:00,C026,499.99,USD,COMPLETED
T1034,2025-01-12T08:05:00,C027,39.00,USD,COMPLETED
T1035,2025-01-12T09:14:00,C028,220.10,USD,FAILED
T1036,2025-01-12T12:45:00,C029,27.50,USD,COMPLETED
T1037,2025-01-13T07:10:00,C030,110.99,USD,COMPLETED
T1038,2025-01-13T09:35:00,C031,75.89,USD,COMPLETED
T1039,2025-01-13T11:22:00,C032,16.49,USD,FAILED
T1040,2025-01-14T06:50:00,C011,320.00,USD,COMPLETED
T1041,2025-01-14T12:00:00,C033,1400.00,USD,COMPLETED
T1042,2025-01-14T17:22:00,C034,48.75,USD,FAILED
T1043,2025-01-15T09:10:00,C035,210.60,USD,COMPLETED
T1044,2025-01-15T11:40:00,C036,34.00,USD,COMPLETED
T1045,2025-01-15T13:55:00,C037,95.10,USD,COMPLETED
T1046,2025-01-16T08:25:00,C038,400.00,USD,FAILED
T1047,2025-01-16T12:40:00,C039,780.25,USD,COMPLETED
T1048,2025-01-16T17:55:00,C040,18.00,USD,COMPLETED
T1049,2025-01-17T07:30:00,C041,58.00,USD,COMPLETED
T1050,2025-01-17T10:50:00,C042,275.40,USD,COMPLETED
